66646 GFF lines processed.
file_1_file_1_g1355.t1.exon3	0	0	0	0	0	0	0	2
file_1_file_1_g1356.t1.exon1	0	0	0	0	0	0	0	0
file_1_file_1_g1357.t1.exon1	0	0	0	0	0	0	0	0
file_1_file_1_g1357.t1.exon2	0	0	0	0	0	0	0	0
file_1_file_1_g1358.t1.exon1	0	0	0	0	0	0	0	0
file_1_file_1_g1359.t1.exon1	0	0	0	0	0	0	0	0
file_1_file_1_g1359.t1.exon2	0	0	0	0	0	0	0	0
file_1_file_1_g1359.t1.exon3	0	0	0	0	0	0	0	0
file_1_file_1_g1359.t1.exon4	0	0	0	0	0	0	0	0
file_1_file_1_g136.t1.exon1	1	0	0	0	0	0	0	0
file_1_file_1_g136.t1.exon2	4	0	1	0	0	0	0	0
file_1_file_1_g136.t1.exon3	0	0	0	0	0	0	0	0
file_1_file_1_g136.t1.exon4	2	0	0	0	0	0	0	0
file_1_file_1_g136.t1.exon5	4	0	1	0	0	0	0	0
file_1_file_1_g136.t1.exon6	0	0	0	0	0	0	0	0
file_1_file_1_g136.t1.exon7	3	0	0	0	0	0	0	0
file_1_file_1_g1360.t1.exon1	3	0	1	0	0	0	0	0
file_1_file_1_g1361.t1.exon1	4	1	3	0	0	0	0	0
file_1_file_1_g1362.t1.exon1	24	2	5	0	0	0	0	0
file_1_file_1_g1363.t1.exon1	0	0	0	0	0	0	0	0
file_1_file_1_g1363.t1.exon2	19	3	0	1	0	0	0	0
file_1_file_1_g1363.t1.exon3	1	0	0	0	0	0	0	0
file_1_file_1_g1363.t1.exon4	0	0	0	0	0	0	0	0
file_1_file_1_g1363.t1.exon5	0	0	0	0	0	0	0	0
file_1_file_1_g1364.t1.exon1	20	3	8	1	0	0	0	0
file_1_file_1_g1364.t1.exon2	12	0	1	0	0	0	0	0
file_1_file_1_g1364.t1.exon3	9	3	1	0	0	0	0	0
file_1_file_1_g1365.t1.exon1	3	0	0	0	0	0	0	0
file_1_file_1_g1365.t1.exon2	1	1	0	0	0	0	0	0
file_1_file_1_g1365.t1.exon3	3	0	0	0	0	0	0	0
file_1_file_1_g1365.t1.exon4	0	0	0	0	0	0	0	0
file_1_file_1_g1365.t1.exon5	1	0	0	0	0	0	0	0
file_1_file_1_g1366.t1.exon1	0	0	0	0	0	0	0	0
file_1_file_1_g1366.t1.exon2	0	0	0	0	0	0	0	0
file_1_file_1_g1366.t1.exon3	0	0	0	0	0	0	0	0
file_1_file_1_g1367.t1.exon1	0	0	0	0	0	0	0	0
file_1_file_1_g1367.t1.exon2	0	0	0	0	0	0	0	0
file_1_file_1_g1367.t1.exon3	0	0	0	0	0	0	0	0
file_1_file_1_g1367.t1.exon4	0	0	0	0	0	0	0	0
file_1_file_1_g1367.t1.exon5	0	0	0	0	0	0	0	0
file_1_file_1_g1367.t1.exon6	0	0	0	0	0	0	0	0
file_1_file_1_g1368.t1.exon1	0	0	0	0	0	0	0	0
file_1_file_1_g1368.t1.exon2	0	0	0	0	0	0	0	0
file_1_file_1_g1368.t1.exon3	0	0	0	0	0	0	0	0
file_1_file_1_g1368.t1.exon4	0	0	0	0	0	0	0	0
file_1_file_1_g1368.t1.exon5	0	0	0	0	0	0	0	0
file_1_file_1_g1368.t1.exon6	0	0	0	0	0	0	0	0
file_1_file_1_g1368.t1.exon7	0	0	0	0	0	0	0	0
file_1_file_1_g1368.t1.exon8	0	0	0	0	0	0	0	0
file_1_file_1_g1368.t1.exon9	0	0	0	0	0	0	0	0
file_1_file_1_g1369.t1.exon1	0	0	0	0	0	0	0	0
file_1_file_1_g1369.t1.exon2	0	0	0	0	0	0	0	0
file_1_file_1_g1369.t1.exon3	0	0	0	0	0	0	0	0
file_1_file_1_g1369.t1.exon4	0	0	0	0	0	0	0	0
file_1_file_1_g1369.t1.exon5	0	0	0	0	0	0	0	0
file_1_file_1_g137.t1.exon1	20	10	18	13	82	1	9	67
file_1_file_1_g137.t1.exon2	2	2	1	3	3	0	0	6
file_1_file_1_g137.t1.exon3	6	3	6	2	6	0	2	11
file_1_file_1_g1370.t1.exon1	0	0	0	0	0	0	0	0
file_1_file_1_g1370.t1.exon2	0	0	0	0	0	0	0	0
file_1_file_1_g1370.t1.exon3	0	0	0	0	0	0	0	0
file_1_file_1_g1370.t1.exon4	0	0	0	0	0	0	0	0
file_1_file_1_g1370.t1.exon5	0	0	0	0	0	0	0	0
file_1_file_1_g1370.t1.exon6	0	0	0	0	0	0	0	0
file_1_file_1_g1370.t1.exon7	0	0	0	0	0	0	0	0
file_1_file_1_g1371.t1.exon1	0	0	0	0	0	0	0	0
file_1_file_1_g1372.t1.exon1	0	0	0	0	0	0	0	0
file_1_file_1_g1372.t1.exon2	0	0	0	0	0	0	0	0
file_1_file_1_g1372.t1.exon3	0	0	0	0	0	0	0	0
file_1_file_1_g1372.t1.exon4	0	0	0	0	0	0	0	0
file_1_file_1_g1372.t1.exon5	0	0	0	0	0	0	0	0
file_1_file_1_g1373.t1.exon1	0	0	0	0	0	0	0	0
file_1_file_1_g1373.t1.exon2	0	0	0	0	0	0	0	0
file_1_file_1_g1373.t1.exon3	0	0	0	0	0	0	0	0
file_1_file_1_g1373.t1.exon4	0	0	0	0	0	0	0	0
file_1_file_1_g1373.t1.exon5	0	0	0	0	0	0	0	0
file_1_file_1_g1373.t1.exon6	0	0	0	0	0	0	0	0
file_1_file_1_g1373.t1.exon7	0	0	0	0	0	0	0	0
file_1_file_1_g1374.t1.exon1	0	0	0	0	0	0	0	0
file_1_file_1_g1374.t1.exon2	0	0	0	0	0	0	0	0
file_1_file_1_g1374.t1.exon3	0	0	0	0	0	0	0	0
file_1_file_1_g1374.t1.exon4	0	0	0	0	0	0	0	0
file_1_file_1_g1374.t1.exon5	0	0	0	0	0	0	0	0
file_1_file_1_g1374.t1.exon6	0	0	0	0	0	0	0	0
file_1_file_1_g1375.t1.exon1	0	0	0	0	0	0	0	0
file_1_file_1_g1375.t1.exon2	0	0	0	0	0	0	0	0
file_1_file_1_g1375.t1.exon3	0	0	0	0	0	0	0	0
file_1_file_1_g1376.t1.exon1	0	0	0	0	0	0	0	0
file_1_file_1_g1376.t1.exon2	0	0	0	0	0	0	0	0
file_1_file_1_g1376.t1.exon3	0	0	0	0	0	0	0	0
file_1_file_1_g1377.t1.exon1	0	0	0	0	0	0	0	0
file_1_file_1_g1377.t1.exon2	0	0	0	0	0	0	0	0
file_1_file_1_g1377.t1.exon3	0	0	0	0	0	0	0	0
file_1_file_1_g1378.t1.exon1	0	0	0	0	0	0	0	0
file_1_file_1_g1378.t1.exon2	0	0	0	0	0	0	0	0
file_1_file_1_g1378.t1.exon3	0	0	0	0	0	0	0	0
file_1_file_1_g1378.t1.exon4	0	0	0	0	0	0	0	0
file_1_file_1_g1378.t1.exon5	0	0	0	0	0	0	0	0
file_1_file_1_g1378.t1.exon6	0	0	0	0	0	0	0	0
file_1_file_1_g1379.t1.exon1	0	0	0	0	0	0	0	0
file_1_file_1_g1379.t1.exon2	0	0	0	0	0	0	0	0
file_1_file_1_g1379.t1.exon3	0	0	0	0	0	0	0	0
file_1_file_1_g138.t1.exon1	13	12	3	24	0	0	0	4
file_1_file_1_g1380.t1.exon1	0	0	0	0	0	0	0	0
file_1_file_1_g1380.t1.exon2	0	0	0	0	0	0	0	0
file_1_file_1_g1381.t1.exon1	0	0	0	0	0	0	0	0
file_1_file_1_g1381.t1.exon2	0	0	0	0	0	0	0	0
file_1_file_1_g1381.t1.exon3	0	0	0	0	0	0	0	0
file_1_file_1_g1382.t1.exon1	0	0	0	0	0	0	0	0
file_1_file_1_g1383.t1.exon1	0	0	0	0	0	0	0	0
file_1_file_1_g1383.t1.exon2	0	0	0	0	0	0	0	0
file_1_file_1_g1383.t1.exon3	0	0	0	0	0	0	0	0
file_1_file_1_g1383.t1.exon4	0	0	0	0	0	0	0	0
file_1_file_1_g1383.t1.exon5	0	0	0	0	0	0	0	0
file_1_file_1_g1383.t1.exon6	0	0	0	0	0	0	0	0
file_1_file_1_g1384.t1.exon1	0	0	0	0	0	0	0	0
file_1_file_1_g1384.t1.exon2	0	0	0	0	0	0	0	0
file_1_file_1_g1384.t1.exon3	0	0	0	0	0	0	0	0
file_1_file_1_g1385.t1.exon1	0	0	0	0	0	0	0	0
file_1_file_1_g1385.t1.exon2	0	0	0	0	0	0	0	0
file_1_file_1_g1385.t1.exon3	0	0	0	0	0	0	0	0
file_1_file_1_g1385.t1.exon4	0	0	0	0	0	0	0	0
file_1_file_1_g1385.t1.exon5	0	0	0	0	0	0	0	0
file_1_file_1_g1385.t1.exon6	0	0	0	0	0	0	0	0
file_1_file_1_g1386.t1.exon1	0	0	0	0	0	0	0	0
file_1_file_1_g1386.t1.exon2	0	0	0	0	0	0	0	0
file_1_file_1_g1386.t1.exon3	0	0	0	0	0	0	0	0
file_1_file_1_g1386.t1.exon4	0	0	0	0	0	0	0	0
file_1_file_1_g1386.t1.exon5	0	0	0	0	0	0	0	0
file_1_file_1_g1386.t1.exon6	0	0	0	0	0	0	0	0
file_1_file_1_g1386.t1.exon7	0	0	0	0	0	0	0	0
file_1_file_1_g1387.t1.exon1	0	0	0	0	0	0	0	0
file_1_file_1_g1387.t1.exon2	0	1	0	0	0	0	0	1
file_1_file_1_g1388.t1.exon1	9	37	9	8	3	0	0	9
file_1_file_1_g1389.t1.exon1	0	0	0	0	0	0	0	1
file_1_file_1_g1389.t1.exon2	0	0	0	0	0	0	0	0
file_1_file_1_g139.t1.exon1	8	3	4	14	3	0	6	35
file_1_file_1_g139.t1.exon10	2	0	0	0	0	0	0	0
file_1_file_1_g139.t1.exon2	9	12	13	11	0	0	2	8
file_1_file_1_g139.t1.exon3	3	4	0	9	0	0	3	2
file_1_file_1_g139.t1.exon4	5	6	3	4	0	0	0	4
file_1_file_1_g139.t1.exon5	2	5	2	7	0	0	0	0
file_1_file_1_g139.t1.exon6	4	2	6	12	5	0	12	1
file_1_file_1_g139.t1.exon7	5	3	3	7	8	0	2	7
file_1_file_1_g139.t1.exon8	44	104	38	174	18	0	43	192
file_1_file_1_g139.t1.exon9	0	0	0	0	0	0	0	0
file_1_file_1_g1390.t1.exon1	0	0	0	0	0	0	0	0
file_1_file_1_g1390.t1.exon2	0	0	0	0	0	0	0	0
file_1_file_1_g1390.t1.exon3	0	0	0	0	0	0	0	0
file_1_file_1_g1391.t1.exon1	0	0	0	0	0	0	0	0
file_1_file_1_g1391.t1.exon2	0	0	0	0	0	0	0	0
file_1_file_1_g1392.t1.exon1	0	0	0	0	0	0	0	0
file_1_file_1_g1392.t1.exon2	0	0	0	0	0	0	0	0
file_1_file_1_g1392.t1.exon3	3	0	1	0	0	0	0	1
file_1_file_1_g1392.t1.exon4	0	0	0	0	0	0	0	0
file_1_file_1_g1392.t1.exon5	1	1	0	0	0	0	0	0
file_1_file_1_g1392.t1.exon6	9	1	6	2	0	0	0	0
file_1_file_1_g1392.t1.exon7	5	0	0	0	0	0	0	0
file_1_file_1_g1392.t1.exon8	1	0	0	0	0	0	0	0
file_1_file_1_g1393.t1.exon1	17	3	8	0	0	0	3	1
file_1_file_1_g1394.t1.exon1	19	1	9	0	0	0	0	0
file_1_file_1_g1395.t1.exon1	0	0	0	0	0	0	0	0
file_1_file_1_g1395.t1.exon2	0	0	0	0	0	0	0	0
file_1_file_1_g1395.t2.exon1	0	0	0	0	0	0	0	0
file_1_file_1_g1395.t2.exon2	0	0	0	0	0	0	0	0
file_1_file_1_g1395.t3.exon1	0	0	0	0	0	0	0	0
file_1_file_1_g1396.t1.exon1	0	0	0	0	0	0	0	0
file_1_file_1_g1396.t1.exon2	0	0	0	0	0	0	0	0
file_1_file_1_g1396.t1.exon3	0	0	0	0	0	0	0	0
file_1_file_1_g1397.t1.exon1	0	0	0	0	0	0	0	0
file_1_file_1_g1398.t1.exon1	0	0	0	0	0	0	0	0
file_1_file_1_g1399.t1.exon1	0	0	0	0	0	0	0	0
file_1_file_1_g14.t1.exon1	0	0	0	0	0	0	0	0
file_1_file_1_g14.t1.exon2	0	0	0	0	0	0	0	0
file_1_file_1_g140.t1.exon1	474	525	487	890	1105	3	815	1349
file_1_file_1_g1400.t1.exon1	0	0	0	0	0	0	0	0
file_1_file_1_g1401.t1.exon1	0	0	0	0	0	0	0	0
file_1_file_1_g1402.t1.exon1	0	0	0	0	0	0	0	0
file_1_file_1_g1403.t1.exon1	0	0	0	0	0	0	0	0
file_1_file_1_g1403.t1.exon2	0	0	0	0	0	0	0	0
file_1_file_1_g1403.t1.exon3	0	0	0	0	0	0	0	0
file_1_file_1_g1403.t1.exon4	0	0	0	0	0	0	0	0
file_1_file_1_g1403.t1.exon5	0	0	0	0	0	0	0	0
file_1_file_1_g1403.t1.exon6	0	0	0	0	0	0	0	0
file_1_file_1_g1404.t1.exon1	0	0	0	0	0	0	0	0
file_1_file_1_g1405.t1.exon1	0	0	0	0	0	0	0	0
file_1_file_1_g1406.t1.exon1	0	0	0	0	0	0	0	0
file_1_file_1_g1406.t1.exon2	0	0	0	0	0	0	0	0
file_1_file_1_g1406.t1.exon3	0	0	0	0	0	0	0	0
file_1_file_1_g1407.t1.exon1	0	0	0	0	0	0	0	0
file_1_file_1_g1407.t1.exon2	0	0	0	0	0	0	0	0
file_1_file_1_g1407.t1.exon3	0	0	0	0	0	0	0	0
file_1_file_1_g1407.t1.exon4	0	0	0	0	0	0	0	0
file_1_file_1_g1407.t1.exon5	1	0	0	0	0	0	0	0
file_1_file_1_g1407.t1.exon6	0	0	0	0	0	0	0	0
file_1_file_1_g1407.t1.exon7	5	0	0	0	0	0	0	0
file_1_file_1_g1408.t1.exon1	0	0	0	0	0	0	0	0
file_1_file_1_g1408.t1.exon2	0	0	0	0	0	0	0	0
file_1_file_1_g1408.t1.exon3	0	0	0	0	0	0	0	0
file_1_file_1_g1408.t1.exon4	0	0	0	0	0	0	0	0
file_1_file_1_g1408.t1.exon5	0	1	0	0	0	0	0	0
file_1_file_1_g1409.t1.exon1	0	0	0	0	0	0	0	0
file_1_file_1_g1409.t1.exon2	0	0	0	0	0	0	0	0
file_1_file_1_g1409.t1.exon3	0	0	0	0	0	0	0	0
file_1_file_1_g1409.t1.exon4	0	0	0	0	0	0	0	0
file_1_file_1_g1409.t1.exon5	0	0	0	0	0	0	0	0
file_1_file_1_g1409.t1.exon6	0	0	0	0	0	0	0	0
file_1_file_1_g141.t1.exon1	9	12	0	18	0	1	0	0
file_1_file_1_g141.t1.exon2	4	1	0	8	0	0	0	0
file_1_file_1_g141.t1.exon3	6	11	2	25	0	0	0	0
file_1_file_1_g141.t1.exon4	4	9	1	16	0	0	0	0
file_1_file_1_g1410.t1.exon1	0	0	0	0	0	0	0	0
file_1_file_1_g1411.t1.exon1	0	0	0	0	0	0	0	0
file_1_file_1_g1412.t1.exon1	0	0	0	0	0	0	0	0
file_1_file_1_g1413.t1.exon1	0	0	0	0	0	0	0	0
file_1_file_1_g1413.t1.exon2	0	0	0	0	0	0	0	0
file_1_file_1_g1413.t1.exon3	0	0	0	0	0	0	0	0
file_1_file_1_g1414.t1.exon1	0	0	0	0	0	0	0	0
file_1_file_1_g1415.t1.exon1	0	0	0	0	0	0	0	0
file_1_file_1_g1416.t1.exon1	0	0	0	0	0	0	0	0
file_1_file_1_g1416.t1.exon2	0	0	0	0	0	0	0	0
file_1_file_1_g1417.t1.exon1	3	2	2	4	0	0	0	0
file_1_file_1_g1417.t1.exon2	0	0	0	0	0	0	0	0
file_1_file_1_g1417.t1.exon3	9	4	5	12	0	0	0	0
file_1_file_1_g1418.t1.exon1	3	1	0	0	0	0	0	0
file_1_file_1_g1418.t1.exon2	2	0	0	0	0	0	0	1
file_1_file_1_g1418.t1.exon3	1	0	0	0	0	0	0	0
file_1_file_1_g1418.t1.exon4	0	1	0	0	0	0	0	0
file_1_file_1_g1418.t1.exon5	3	0	0	0	0	0	0	0
file_1_file_1_g1418.t1.exon6	0	0	0	0	0	0	0	0
file_1_file_1_g1418.t1.exon7	0	0	0	0	0	0	0	0
file_1_file_1_g1418.t1.exon8	0	1	0	0	0	0	0	0
file_1_file_1_g1419.t1.exon1	0	0	0	1	0	0	0	0
file_1_file_1_g1419.t1.exon2	0	0	0	0	0	0	0	0
file_1_file_1_g1419.t1.exon3	5	2	1	0	0	0	0	0
file_1_file_1_g142.t1.exon1	44	42	33	63	35	0	10	60
file_1_file_1_g142.t1.exon2	0	6	2	6	0	0	0	4
file_1_file_1_g142.t1.exon3	3	1	0	2	0	0	1	4
file_1_file_1_g142.t1.exon4	4	4	4	6	5	0	2	43
file_1_file_1_g142.t1.exon5	54	37	59	78	56	0	37	133
file_1_file_1_g1420.t1.exon1	1	0	0	1	0	0	0	0
file_1_file_1_g1421.t1.exon1	0	2	0	0	0	0	0	0
file_1_file_1_g1421.t1.exon2	3	0	0	0	0	0	0	0
file_1_file_1_g1422.t1.exon1	9	26	1	29	0	5	0	0
file_1_file_1_g1422.t1.exon2	14	34	3	41	0	1	0	0
file_1_file_1_g1423.t1.exon1	5	0	1	1	0	0	0	0
file_1_file_1_g1423.t1.exon2	1	0	0	0	0	0	0	0
file_1_file_1_g1423.t1.exon3	6	2	1	2	0	0	0	0
file_1_file_1_g1424.t1.exon1	37	17	70	34	54	0	2	118
file_1_file_1_g1425.t1.exon1	0	0	0	0	0	0	0	0
file_1_file_1_g1425.t1.exon2	0	0	0	0	0	0	0	0
file_1_file_1_g1425.t1.exon3	0	0	0	0	0	0	0	0
file_1_file_1_g1425.t1.exon4	0	0	0	0	0	0	0	0
file_1_file_1_g1425.t1.exon5	0	0	0	0	0	0	0	0
file_1_file_1_g1425.t1.exon6	0	0	0	0	0	0	0	0
file_1_file_1_g1425.t2.exon1	0	0	0	0	0	0	0	0
file_1_file_1_g1425.t2.exon2	0	0	0	0	0	0	0	0
file_1_file_1_g1425.t2.exon3	0	0	0	0	0	0	0	0
file_1_file_1_g1425.t2.exon4	0	0	0	0	0	0	0	0
file_1_file_1_g1425.t2.exon5	0	0	0	0	0	0	0	0
file_1_file_1_g1425.t2.exon6	1	0	0	2	0	0	0	0
file_1_file_1_g1426.t1.exon1	51	352	51	408	123	3	305	352
file_1_file_1_g1426.t1.exon10	152	487	180	811	251	0	876	995
file_1_file_1_g1426.t1.exon11	69	252	80	357	82	0	318	483
file_1_file_1_g1426.t1.exon12	2	1	0	0	0	0	0	0
file_1_file_1_g1426.t1.exon13	20	80	48	155	38	0	134	218
file_1_file_1_g1426.t1.exon14	0	5	0	9	0	0	0	26
file_1_file_1_g1426.t1.exon15	0	4	3	2	0	0	0	2
file_1_file_1_g1426.t1.exon16	5	15	4	25	0	0	2	25
file_1_file_1_g1426.t1.exon17	0	10	1	19	0	0	4	15
file_1_file_1_g1426.t1.exon18	0	1	0	3	0	0	1	5
file_1_file_1_g1426.t1.exon19	0	7	1	15	0	0	0	20
file_1_file_1_g1426.t1.exon2	5	34	11	36	32	0	23	110
file_1_file_1_g1426.t1.exon20	7	1	2	8	0	0	3	4
file_1_file_1_g1426.t1.exon21	0	2	1	2	0	0	6	1
file_1_file_1_g1426.t1.exon22	50	136	69	236	119	0	224	353
file_1_file_1_g1426.t1.exon3	18	53	13	73	37	0	72	97
file_1_file_1_g1426.t1.exon4	11	47	6	79	22	0	61	167
file_1_file_1_g1426.t1.exon5	13	24	9	48	9	0	78	134
file_1_file_1_g1426.t1.exon6	5	13	3	16	0	0	6	75
file_1_file_1_g1426.t1.exon7	211	1187	289	1640	724	1	1917	1786
file_1_file_1_g1426.t1.exon8	7	9	4	12	5	0	0	27
file_1_file_1_g1426.t1.exon9	4	9	2	19	9	0	5	14
file_1_file_1_g1427.t1.exon1	3	0	0	0	0	0	0	0
file_1_file_1_g1428.t1.exon1	2	1	0	1	0	0	0	1
file_1_file_1_g1428.t1.exon2	0	1	4	0	0	0	0	0
file_1_file_1_g1428.t1.exon3	2	0	0	0	0	0	0	0
file_1_file_1_g1428.t1.exon4	2	0	0	2	0	0	1	1
file_1_file_1_g1429.t1.exon1	4	6	5	23	13	0	25	74
file_1_file_1_g1429.t1.exon10	0	1	2	3	0	0	0	2
file_1_file_1_g1429.t1.exon11	0	2	0	2	0	0	1	7
file_1_file_1_g1429.t1.exon12	16	49	9	87	18	22	9	66
file_1_file_1_g1429.t1.exon2	0	1	0	0	0	0	0	0
file_1_file_1_g1429.t1.exon3	0	0	2	3	0	0	0	2
file_1_file_1_g1429.t1.exon4	1	1	0	0	0	0	0	1
file_1_file_1_g1429.t1.exon5	2	0	1	1	0	0	0	0
file_1_file_1_g1429.t1.exon6	1	2	0	1	0	0	0	8
file_1_file_1_g1429.t1.exon7	1	3	0	0	0	0	1	0
file_1_file_1_g1429.t1.exon8	3	1	0	2	1	0	4	3
file_1_file_1_g1429.t1.exon9	3	0	0	0	0	0	0	0
file_1_file_1_g143.t1.exon1	0	1	0	0	0	0	0	0
file_1_file_1_g143.t1.exon2	4	1	0	0	0	0	0	0
file_1_file_1_g1430.t1.exon1	0	0	0	0	0	0	0	0
file_1_file_1_g1430.t1.exon10	0	0	0	0	0	0	0	0
file_1_file_1_g1430.t1.exon11	0	0	0	0	0	0	0	0
file_1_file_1_g1430.t1.exon12	0	0	0	0	0	0	0	0
file_1_file_1_g1430.t1.exon13	0	0	0	0	0	0	0	0
file_1_file_1_g1430.t1.exon14	0	0	0	0	0	0	0	0
file_1_file_1_g1430.t1.exon15	0	0	0	0	0	0	0	0
file_1_file_1_g1430.t1.exon2	0	0	0	0	0	0	0	0
file_1_file_1_g1430.t1.exon3	0	0	0	0	0	0	0	0
file_1_file_1_g1430.t1.exon4	0	0	0	0	0	0	0	0
file_1_file_1_g1430.t1.exon5	0	0	0	0	0	0	0	0
file_1_file_1_g1430.t1.exon6	0	0	0	0	0	0	0	0
file_1_file_1_g1430.t1.exon7	0	0	0	0	0	0	0	0
file_1_file_1_g1430.t1.exon8	0	0	0	0	0	0	0	0
file_1_file_1_g1430.t1.exon9	0	0	0	0	0	0	0	0
file_1_file_1_g1430.t2.exon1	0	0	0	0	0	0	0	0
file_1_file_1_g1430.t2.exon10	0	0	0	0	0	0	0	0
file_1_file_1_g1430.t2.exon11	0	0	0	0	0	0	0	0
file_1_file_1_g1430.t2.exon12	0	0	0	0	0	0	0	0
file_1_file_1_g1430.t2.exon13	0	0	0	0	0	0	0	0
file_1_file_1_g1430.t2.exon14	0	0	0	0	0	0	0	0
file_1_file_1_g1430.t2.exon15	0	0	0	0	0	0	0	0
file_1_file_1_g1430.t2.exon2	0	0	0	0	0	0	0	0
file_1_file_1_g1430.t2.exon3	0	0	0	0	0	0	0	0
file_1_file_1_g1430.t2.exon4	0	0	0	0	0	0	0	0
file_1_file_1_g1430.t2.exon5	0	0	0	0	0	0	0	0
file_1_file_1_g1430.t2.exon6	0	0	0	0	0	0	0	0
file_1_file_1_g1430.t2.exon7	0	0	0	0	0	0	0	0
file_1_file_1_g1430.t2.exon8	0	0	0	0	0	0	0	0
file_1_file_1_g1430.t2.exon9	0	0	0	0	0	0	0	0
file_1_file_1_g1431.t1.exon1	64	82	84	118	100	0	411	262
file_1_file_1_g1431.t1.exon2	78	108	75	210	94	2	526	304
file_1_file_1_g1431.t1.exon3	105	109	88	203	145	0	457	438
file_1_file_1_g1431.t1.exon4	1	0	0	4	0	0	0	0
file_1_file_1_g1431.t1.exon5	40	86	62	141	57	0	85	245
file_1_file_1_g1432.t1.exon1	3	6	1	13	0	0	0	16
file_1_file_1_g1432.t1.exon10	0	2	3	2	6	0	0	0
file_1_file_1_g1432.t1.exon11	2	2	0	1	0	0	0	0
file_1_file_1_g1432.t1.exon12	1	0	1	3	0	0	0	2
file_1_file_1_g1432.t1.exon13	0	1	0	1	0	0	0	0
file_1_file_1_g1432.t1.exon14	3	1	0	4	0	0	0	1
file_1_file_1_g1432.t1.exon15	4	4	1	3	0	0	0	2
file_1_file_1_g1432.t1.exon16	2	2	1	1	0	0	0	0
file_1_file_1_g1432.t1.exon17	0	2	0	0	0	0	0	0
file_1_file_1_g1432.t1.exon18	0	1	0	0	0	0	0	0
file_1_file_1_g1432.t1.exon19	0	0	1	0	0	0	0	0
file_1_file_1_g1432.t1.exon2	0	0	0	1	0	0	0	0
file_1_file_1_g1432.t1.exon20	1	2	1	3	0	0	0	0
file_1_file_1_g1432.t1.exon21	4	2	0	8	0	0	0	3
file_1_file_1_g1432.t1.exon22	1	0	0	0	0	0	0	0
file_1_file_1_g1432.t1.exon23	55	73	37	92	35	2	43	121
file_1_file_1_g1432.t1.exon3	1	2	0	7	0	0	0	1
file_1_file_1_g1432.t1.exon4	2	4	0	3	0	0	0	0
file_1_file_1_g1432.t1.exon5	1	1	0	2	0	0	0	0
file_1_file_1_g1432.t1.exon6	0	0	0	0	0	0	0	0
file_1_file_1_g1432.t1.exon7	3	4	1	0	0	0	0	0
file_1_file_1_g1432.t1.exon8	2	5	1	3	2	0	0	8
file_1_file_1_g1432.t1.exon9	2	1	0	1	0	0	0	0
file_1_file_1_g1433.t1.exon1	3	2	1	7	0	0	0	1
file_1_file_1_g1433.t1.exon2	2	1	0	0	0	0	0	0
file_1_file_1_g1433.t1.exon3	6	5	2	14	0	1	0	1
file_1_file_1_g1433.t1.exon4	3	0	0	0	0	0	0	0
file_1_file_1_g1434.t1.exon1	9	14	15	29	4	0	0	1
file_1_file_1_g1434.t1.exon2	5	9	2	22	0	0	1	0
file_1_file_1_g1434.t1.exon3	7	35	10	48	7	0	1	9
file_1_file_1_g1434.t1.exon4	0	5	1	8	0	0	1	9
file_1_file_1_g1434.t1.exon5	5	19	7	31	0	0	2	8
file_1_file_1_g1434.t1.exon6	248	258	251	418	161	0	241	214
file_1_file_1_g1435.t1.exon1	6	0	0	0	0	0	0	0
file_1_file_1_g1435.t1.exon2	0	0	0	0	0	0	0	0
file_1_file_1_g1436.t1.exon1	2	3	1	5	3	0	0	13
file_1_file_1_g1436.t1.exon2	22	33	22	69	34	8	0	43
file_1_file_1_g1436.t1.exon3	4	1	0	3	6	0	0	0
file_1_file_1_g1437.t1.exon1	0	0	0	0	0	0	0	0
file_1_file_1_g1437.t1.exon2	9	0	9	0	12	0	0	5
file_1_file_1_g1437.t1.exon3	5	0	3	0	0	1	0	12
file_1_file_1_g1437.t1.exon4	1	1	0	0	5	0	0	0
file_1_file_1_g1437.t1.exon5	3	0	0	0	0	2	0	0
file_1_file_1_g1438.t1.exon1	63	127	32	254	48	0	68	510
file_1_file_1_g1439.t1.exon1	8	0	0	0	0	0	0	0
file_1_file_1_g144.t1.exon1	1	3	0	6	0	0	1	0
file_1_file_1_g144.t1.exon2	13	382	4	616	26	2	19	35
file_1_file_1_g1440.t1.exon1	4	1	0	0	0	0	0	0
file_1_file_1_g1441.t1.exon1	9	1	1	0	0	0	0	0
file_1_file_1_g1442.t1.exon1	6	0	0	0	0	0	0	0
file_1_file_1_g1443.t1.exon1	6	0	0	0	0	0	0	0
file_1_file_1_g1444.t1.exon1	9	7	2	13	0	0	0	0
file_1_file_1_g1444.t1.exon2	1	0	0	0	0	0	0	0
file_1_file_1_g1444.t1.exon3	5	5	1	7	0	0	0	1
file_1_file_1_g1445.t1.exon1	8	15	1	36	0	0	3	4
file_1_file_1_g1445.t1.exon10	7	2	8	4	30	0	0	15
file_1_file_1_g1445.t1.exon11	30	46	23	69	31	0	13	103
file_1_file_1_g1445.t1.exon12	7	2	3	3	1	0	1	2
file_1_file_1_g1445.t1.exon13	0	7	1	3	0	0	0	0
file_1_file_1_g1445.t1.exon14	0	4	1	4	0	0	0	0
file_1_file_1_g1445.t1.exon15	0	2	0	2	0	0	0	0
file_1_file_1_g1445.t1.exon16	2	2	0	7	0	0	0	0
file_1_file_1_g1445.t1.exon17	1	0	0	7	0	0	0	0
